anchor,eps,seed,month,junior,total
0.25,2.0,0,30,0.9848484848484849,0.9798627002288329
0.25,2.0,0,36,0.990282276723739,0.9872426141450313
0.25,2.0,0,42,0.9941415051825147,0.989760348583878
0.25,2.0,0,48,1.0229276895943562,1.0239265114291818
0.25,2.0,0,54,1.080935251798561,1.0891692040017398
0.25,2.0,0,60,1.128169014084507,1.1760291107573346
0.25,2.0,0,66,1.086675887505763,1.2210290827740493
0.25,2.0,0,72,1.041311180960934,1.2127798304716366
0.25,2.0,0,78,1.0629464285714285,1.3122973849146315
0.25,2.0,0,84,1.0912769784172662,1.394811423588402
0.25,2.0,0,90,1.1100959342165373,1.456814667550254
0.25,2.0,0,96,1.1563517915309447,1.5550799729668845
0.25,2.0,0,102,1.2808253648716659,1.739522417153996
0.25,2.0,0,108,1.2292292292292293,1.6833050642112914
0.25,2.0,0,114,1.296523517382413,1.7710902812037495
0.25,2.0,0,120,1.2560553633217992,1.7247904191616767
0.25,2.0,0,126,1.3047962867457452,1.7957096532801198
0.25,2.0,0,132,1.344702842377261,1.8358692940883012
0.25,2.0,0,138,1.3197139938712972,1.8139246778989098
0.25,2.0,0,144,1.3326643251379828,1.8330087633885102
0.25,2.0,0,150,1.3546453546453547,1.8616352201257862
0.25,2.0,1,0,0.9963082602676512,1.0
0.25,2.0,1,6,1.024,1.0234998859228839
0.25,2.0,1,12,1.0151085930122756,1.0120976945902762
0.25,2.0,1,18,0.9825553983969826,0.9792474344355758
0.25,2.0,1,24,0.9980449657869013,0.9988171279867518
0.25,2.0,1,30,0.9913916786226685,0.9891379708805177
0.25,2.0,1,36,1.0143266475644699,1.0122628412771866
0.25,2.0,1,42,1.05908203125,1.0556735079028072
0.25,2.0,1,48,1.0811719500480308,1.0813386009760633
0.25,2.0,1,54,1.1328839672604718,1.146318732525629
0.25,2.0,1,60,1.1423761423761423,1.1890570430733411
0.25,2.0,1,66,1.135401280157558,1.250537377597325
0.25,2.0,1,72,1.0969337289812067,1.316267942583732
0.25,2.0,1,78,1.078307392996109,1.3610980760206475
0.25,2.0,1,84,1.08458920758386,1.4505416862929816
0.25,2.0,1,90,1.1895424836601307,1.5859888105083921
0.25,2.0,1,96,1.2062469013386217,1.6253892215568861
0.25,2.0,1,102,1.2058252427184466,1.643092105263158
0.25,2.0,1,108,1.21300339640951,1.6576175988766675
0.25,2.0,1,114,1.2319262493934984,1.6906103286384977
0.25,2.0,1,120,1.370020964360587,1.8835911742328177
0.25,2.0,1,126,1.3497712252160652,1.8503200393894632
0.25,2.0,1,132,1.373278939316675,1.8786909448818898
0.25,2.0,1,138,1.3527074018877299,1.85652383245065
0.25,2.0,1,144,1.36194212849436,1.867141162514828
0.25,2.0,1,150,1.4290030211480362,1.9542356377799415
0.25,2.25,0,0,0.9948932219127206,0.997525309336333
0.25,2.25,0,6,0.989705194197473,0.9927289252442627
0.25,2.25,0,12,0.9913419913419913,0.9886284520770481
0.25,2.25,0,18,0.9757122839794489,0.9773499433748585
0.25,2.25,0,24,0.9651928504233303,0.9646522234891676
0.25,2.25,0,30,0.9891098484848485,0.9862700228832952
0.25,2.25,0,36,0.950948634891254,0.9485228290062668
0.25,2.25,0,42,0.9580892293826048,0.9588235294117647
0.25,2.25,0,48,0.9744268077601411,0.978637043366802
0.25,2.25,0,54,1.0467625899280575,1.0600260983036103
0.25,2.25,0,60,1.0784037558685446,1.1551057539231293
0.25,2.25,0,66,1.0106039649608114,1.1823266219239374
0.25,2.25,0,72,0.9286035024696901,1.2006085633557921
0.25,2.25,0,78,0.9316964285714285,1.2634536416684676
0.25,2.25,0,84,1.039568345323741,1.356442119032047
0.25,2.25,0,90,1.0991320237551394,1.4585818422796555
0.25,2.25,0,96,1.1251744997673336,1.5163325073214688
0.25,2.25,0,102,1.1469552088575743,1.5648148148148149
0.25,2.25,0,108,1.1796796796796796,1.6149745577901624
0.25,2.25,0,114,1.2750511247443763,1.7360631475086334
0.25,2.25,0,120,1.2624814631735046,1.7348502994011976
0.25,2.25,0,126,1.334708612686952,1.8306310800698429
0.25,2.25,0,132,1.3937984496124032,1.9047143926166126
0.25,2.25,0,138,1.4152196118488254,1.9422695738354807
0.25,2.25,0,144,1.3963873557451079,1.9211295034079845
0.25,2.25,0,150,1.3866133866133865,1.9063860667634251
0.25,2.25,1,0,1.0009229349330873,1.0031354983202687
0.25,2.25,1,6,1.0042352941176471,1.0059320100387863
0.25,2.25,1,12,1.0103871576959396,1.0077607852088564
0.25,2.25,1,18,1.0103724658180104,1.0084378563283922
0.25,2.25,1,24,1.0303030303030303,1.0307546723444523
0.25,2.25,1,30,1.0196078431372548,1.0171019181881211
